Variable,Start,End,Schema
CASE,1,6,integer
SEX,7,7,string
AGE,8,9,integer
DATE,10,22,timestamp
COUNTRY,23,31,string
I1,32,32,float
I2,33,33,float
I3,34,34,float
I4,35,35,float
I5,36,36,float
I6,37,37,float
I7,38,38,float
I8,39,39,float
I9,40,40,float
I10,41,41,float
I11,42,42,float
I12,43,43,float
I13,44,44,float
I14,45,45,float
I15,46,46,float
I16,47,47,float
I17,48,48,float
I18,49,49,float
I19,50,50,float
I20,51,51,float
I21,52,52,float
I22,53,53,float
I23,54,54,float
I24,55,55,float
I25,56,56,float
I26,57,57,float
I27,58,58,float
I28,59,59,float
I29,60,60,float
I30,61,61,float
I31,62,62,float
I32,63,63,float
I33,64,64,float
I34,65,65,float
I35,66,66,float
I36,67,67,float
I37,68,68,float
I38,69,69,float
I39,70,70,float
I40,71,71,float
I41,72,72,float
I42,73,73,float
I43,74,74,float
I44,75,75,float
I45,76,76,float
I46,77,77,float
I47,78,78,float
I48,79,79,float
I49,80,80,float
I50,81,81,float
I51,82,82,float
I52,83,83,float
I53,84,84,float
I54,85,85,float
I55,86,86,float
I56,87,87,float
I57,88,88,float
I58,89,89,float
I59,90,90,float
I60,91,91,float
I61,92,92,float
I62,93,93,float
I63,94,94,float
I64,95,95,float
I65,96,96,float
I66,97,97,float
I67,98,98,float
I68,99,99,float
I69,100,100,float
I70,101,101,float
I71,102,102,float
I72,103,103,float
I73,104,104,float
I74,105,105,float
I75,106,106,float
I76,107,107,float
I77,108,108,float
I78,109,109,float
I79,110,110,float
I80,111,111,float
I81,112,112,float
I82,113,113,float
I83,114,114,float
I84,115,115,float
I85,116,116,float
I86,117,117,float
I87,118,118,float
I88,119,119,float
I89,120,120,float
I90,121,121,float
I91,122,122,float
I92,123,123,float
I93,124,124,float
I94,125,125,float
I95,126,126,float
I96,127,127,float
I97,128,128,float
I98,129,129,float
I99,130,130,float
I100,131,131,float
I101,132,132,float
I102,133,133,float
I103,134,134,float
I104,135,135,float
I105,136,136,float
I106,137,137,float
I107,138,138,float
I108,139,139,float
I109,140,140,float
I110,141,141,float
I111,142,142,float
I112,143,143,float
I113,144,144,float
I114,145,145,float
I115,146,146,float
I116,147,147,float
I117,148,148,float
I118,149,149,float
I119,150,150,float
I120,151,151,float
