ID,Key,Sign,Adjusted,Facet,Description
I1,N1,+,True,Anxiety,Worry about things.
I2,E1,+,True,Friendliness,Make friends easily.
I3,O1,+,True,Imagination,Have a vivid imagination.
I4,A1,+,True,Trust,Trust others.
I5,C1,+,True,Self-Efficacy,Complete tasks successfully.
I6,N2,+,True,Anger,Get angry easily.
I7,E2,+,True,Gregariousness,Love large parties.
I8,O2,+,True,Artistic Interests,Believe in the importance of art.
I9,A2,-,True,Morality,Use others for my own ends.
I10,C2,+,True,Orderliness,Like to tidy up.
I11,N3,+,True,Depression,Often feel blue.
I12,E3,+,True,Assertiveness,Take charge.
I13,O3,+,True,Emotionality,Experience my emotions intensely.
I14,A3,+,True,Altruism,Love to help others.
I15,C3,+,True,Dutifulness,Keep my promises.
I16,N4,+,True,Self-Consciousness,Find it difficult to approach others.
I17,E4,+,True,Activity Level,Am always busy.
I18,O4,+,True,Adventurousness,Prefer variety to routine.
I19,A4,-,True,Cooperation,Love a good fight.
I20,C4,+,True,Achievement-Striving,Work hard.
I21,N5,+,True,Immoderation,Go on binges.
I22,E5,+,True,Excitement-Seeking,Love excitement.
I23,O5,+,True,Intellect,Love to read challenging material.
I24,A5,-,True,Modesty,Believe that I am better than others.
I25,C5,+,True,Self-Discipline,Am always prepared.
I26,N6,+,True,Vulnerability,Panic easily.
I27,E6,+,True,Cheerfulness,Radiate joy.
I28,O6,+,True,Liberalism,Tend to vote for liberal political candidates.
I29,A6,+,True,Sympathy,Sympathize with the homeless.
I30,C6,-,True,Cautiousness,Jump into things without thinking.
I31,N1,+,True,Anxiety,Fear for the worst.
I32,E1,+,True,Friendliness,Feel comfortable around people.
I33,O1,+,True,Imagination,Enjoy wild flights of fantasy.
I34,A1,+,True,Trust,Believe that others have good intentions.
I35,C1,+,True,Self-Efficacy,Excel in what I do.
I36,N2,+,True,Anger,Get irritated easily.
I37,E2,+,True,Gregariousness,Talk to a lot of different people at parties.
I38,O2,+,True,Artistic Interests,See beauty in things that others might not notice.
I39,A2,-,True,Morality,Cheat to get ahead.
I40,C2,-,True,Orderliness,Often forget to put things back in their proper place.
I41,N3,+,True,Depression,Dislike myself.
I42,E3,+,True,Assertiveness,Try to lead others.
I43,O3,+,True,Emotionality,Feel others' emotions.
I44,A3,+,True,Altruism,Am concerned about others.
I45,C3,+,True,Dutifulness,Tell the truth.
I46,N4,+,True,Self-Consciousness,Am afraid to draw attention to myself.
I47,E4,+,True,Activity Level,Am always on the go.
I48,O4,-,True,Adventurousness,Prefer to stick with things that I know.
I49,A4,-,True,Cooperation,Yell at people.
I50,C4,+,True,Achievement-Striving,Do more than what's expected of me.
I51,N5,-,True,Immoderation,Rarely overindulge.
I52,E5,+,True,Excitement-Seeking,Seek adventure.
I53,O5,-,True,Intellect,Avoid philosophical discussions.
