ID,Key,Sign,Adjusted,Facet,Description
I1,NEU1,+,True,Anxiety,Worry about things.
I2,EXT1,+,True,Friendliness,Make friends easily.
I3,OPN1,+,True,Imagination,Have a vivid imagination.
I4,AGR1,+,True,Trust,Trust others.
I5,CSN1,+,True,Self-Efficacy,Complete tasks successfully.
I6,NEU2,+,True,Anger,Get angry easily.
I7,EXT2,+,True,Gregariousness,Love large parties.
I8,OPN2,+,True,Artistic Interests,Believe in the importance of art.
I9,AGR2,-,True,Morality,Use others for my own ends.
I10,CSN2,+,True,Orderliness,Like to tidy up.
I11,NEU3,+,True,Depression,Often feel blue.
I12,EXT3,+,True,Assertiveness,Take charge.
I13,OPN3,+,True,Emotionality,Experience my emotions intensely.
I14,AGR3,+,True,Altruism,Love to help others.
I15,CSN3,+,True,Dutifulness,Keep my promises.
I16,NEU4,+,True,Self-Consciousness,Find it difficult to approach others.
I17,EXT4,+,True,Activity Level,Am always busy.
I18,OPN4,+,True,Adventurousness,Prefer variety to routine.
I19,AGR4,-,True,Cooperation,Love a good fight.
I20,CSN4,+,True,Achievement-Striving,Work hard.
I21,NEU5,+,True,Immoderation,Go on binges.
I22,EXT5,+,True,Excitement-Seeking,Love excitement.
I23,OPN5,+,True,Intellect,Love to read challenging material.
I24,AGR5,-,True,Modesty,Believe that I am better than others.
I25,CSN5,+,True,Self-Discipline,Am always prepared.
I26,NEU6,+,True,Vulnerability,Panic easily.
I27,EXT6,+,True,Cheerfulness,Radiate joy.
I28,OPN6,+,True,Liberalism,Tend to vote for liberal political candidates.
I29,AGR6,+,True,Sympathy,Sympathize with the homeless.
I30,CSN6,-,True,Cautiousness,Jump into things without thinking.
I31,NEU1,+,True,Anxiety,Fear for the worst.
I32,EXT1,+,True,Friendliness,Feel comfortable around people.
I33,OPN1,+,True,Imagination,Enjoy wild flights of fantasy.
I34,AGR1,+,True,Trust,Believe that others have good intentions.
I35,CSN1,+,True,Self-Efficacy,Excel in what I do.
I36,NEU2,+,True,Anger,Get irritated easily.
I37,EXT2,+,True,Gregariousness,Talk to a lot of different people at parties.
I38,OPN2,+,True,Artistic Interests,See beauty in things that others might not notice.
I39,AGR2,-,True,Morality,Cheat to get ahead.
I40,CSN2,-,True,Orderliness,Often forget to put things back in their proper place.
I41,NEU3,+,True,Depression,Dislike myself.
I42,EXT3,+,True,Assertiveness,Try to lead others.
I43,OPN3,+,True,Emotionality,Feel others' emotions.
I44,AGR3,+,True,Altruism,Am concerned about others.
I45,CSN3,+,True,Dutifulness,Tell the truth.
I46,NEU4,+,True,Self-Consciousness,Am afraid to draw attention to myself.
I47,EXT4,+,True,Activity Level,Am always on the go.
I48,OPN4,-,True,Adventurousness,Prefer to stick with things that I know.
I49,AGR4,-,True,Cooperation,Yell at people.
I50,CSN4,+,True,Achievement-Striving,Do more than what's expected of me.
I51,NEU5,-,True,Immoderation,Rarely overindulge.
I52,EXT5,+,True,Excitement-Seeking,Seek adventure.
I53,OPN5,-,True,Intellect,Avoid philosophical discussions.
I54,AGR5,-,True,Modesty,Think highly of myself.
